exercise_id,exercise_name,equipment_in_image,body_position_description,image_prompt
"Bradford_Rocky_Presses","Bradford/Rocky Presses","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bradford/rocky presses, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1577","Bretzel stretch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bretzel stretch, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1579","Bronco","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bronco, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_988","Bulgarian split squats left","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bulgarian split squats left, standing with weight, lowering into squat with thighs parallel, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_989","Bulgarian split squats right","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bulgarian split squats right, standing with weight, lowering into squat with thighs parallel, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1706","Bulgarian Squat with Dumbbells","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bulgarian squat with dumbbells, standing with weight, lowering into squat with thighs parallel, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_132","Burpees","yes","full body movement from standing to plank to jump","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing burpees, full body movement from standing to plank to jump, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_915","BUS DRIVERS","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing bus drivers, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1710","Butchers Block Stretch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butchers block stretch, performing exercise with proper form, using bench, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Butt_Lift_Bridge","Butt Lift (Bridge)","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butt lift (bridge), performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Butt-Ups","Butt-Ups","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butt-ups, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Butterfly","Butterfly","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butterfly, performing exercise with proper form, using exercise machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_137","Butterfly Narrow Grip","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butterfly narrow grip, torso bent forward, pulling weight toward body, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_139","Butterfly Reverse","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butterfly reverse, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1476","Butterfly Sit Up","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing butterfly sit up, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1769","cabel","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cabel, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Chest_Press","Cable Chest Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable chest press, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1656","Cable Chest Press - Decline","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable chest press - decline, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1660","Cable Chest Press - Incline","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable chest press - incline, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1109","Cable Concentration Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable concentration curl, standing or seated, arm curling weight toward shoulder, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_323","Cable Cross-over","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable cross-over, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Crossover","Cable Crossover","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable crossover, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Crunch","Cable Crunch","yes","lying on back; curling shoulders toward knees","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable crunch, lying on back, curling shoulders toward knees, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1531","Cable Curls","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable curls, standing or seated, arm curling weight toward shoulder, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Deadlifts","Cable Deadlifts","yes","bent over with flat back; gripping barbell at floor","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable deadlifts, bent over with flat back, gripping barbell at floor, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_142","Cable External Rotation","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable external rotation, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_924","Cable Fly","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable fly, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1691","Cable Fly Lower Chest","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable fly lower chest, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1689","Cable Fly Middle Chest","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable fly middle chest, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1690","Cable Fly Upper Chest","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable fly upper chest, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1745","Cable Front Raise with a small bar","yes","standing; arms raising weight in front of body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable front raise with a small bar, standing, arms raising weight in front of body, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Hammer_Curls_-_Rope_Attachment","Cable Hammer Curls - Rope Attachment","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable hammer curls - rope attachment, standing or seated, arm curling weight toward shoulder, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Hip_Adduction","Cable Hip Adduction","yes","standing or seated; leg moving inward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable hip adduction, standing or seated, leg moving inward, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Incline_Pushdown","Cable Incline Pushdown","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable incline pushdown, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Incline_Triceps_Extension","Cable Incline Triceps Extension","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable incline triceps extension, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Internal_Rotation","Cable Internal Rotation","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable internal rotation, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Iron_Cross","Cable Iron Cross","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable iron cross, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Judo_Flip","Cable Judo Flip","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable judo flip, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1378","Cable Lateral Raises (Single Arm)","yes","standing; arms raising dumbbells out to sides","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable lateral raises (single arm), standing, arms raising dumbbells out to sides, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Lying_Triceps_Extension","Cable Lying Triceps Extension","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable lying triceps extension, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_One_Arm_Tricep_Extension","Cable One Arm Tricep Extension","yes","arms overhead; extending weight behind head","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable one arm tricep extension, arms overhead, extending weight behind head, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Preacher_Curl","Cable Preacher Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable preacher curl, standing or seated, arm curling weight toward shoulder, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1457","Cable Press Around","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable press around, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1751","Cable pull through","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable pull through, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Rear_Delt_Fly","Cable Rear Delt Fly","yes","bent over; arms raising weights out to sides","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable rear delt fly, bent over, arms raising weights out to sides, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Reverse_Crunch","Cable Reverse Crunch","yes","lying on back; curling shoulders toward knees","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable reverse crunch, lying on back, curling shoulders toward knees, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Rope_Overhead_Triceps_Extension","Cable Rope Overhead Triceps Extension","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable rope overhead triceps extension, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Rope_Rear-Delt_Rows","Cable Rope Rear-Delt Rows","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable rope rear-delt rows, torso bent forward, pulling weight toward body, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Russian_Twists","Cable Russian Twists","yes","seated; torso twisting side to side","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable russian twists, seated, torso twisting side to side, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Seated_Crunch","Cable Seated Crunch","yes","lying on back; curling shoulders toward knees","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable seated crunch, lying on back, curling shoulders toward knees, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Seated_Lateral_Raise","Cable Seated Lateral Raise","yes","standing; arms raising dumbbells out to sides","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable seated lateral raise, standing, arms raising dumbbells out to sides, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Shoulder_Press","Cable Shoulder Press","yes","seated or standing; arms pressing weight overhead","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable shoulder press, seated or standing, arms pressing weight overhead, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1472","Cable Shrug-In","yes","standing; shoulders shrugging upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable shrug-in, standing, shoulders shrugging upward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Shrugs","Cable Shrugs","yes","standing; shoulders shrugging upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable shrugs, standing, shoulders shrugging upward, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1665","Cable Tri Extension - External Rotation","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable tri extension - external rotation, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1662","Cable Tri Extension - Internal Rotation","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable tri extension - internal rotation, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1509","Cable Tricep Kickback","yes","bent over; extending arm backward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable tricep kickback, bent over, extending arm backward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1661","Cable Triceps Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable triceps press, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_145","Cable Woodchoppers","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable woodchoppers, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Cable_Wrist_Curl","Cable Wrist Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing cable wrist curl, standing or seated, arm curling weight toward shoulder, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Calf_Press","Calf Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf press, performing exercise with proper form, using exercise machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Calf_Press_On_The_Leg_Press_Machine","Calf Press On The Leg Press Machine","yes","seated in machine; legs pressing platform away","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf press on the leg press machine, seated in machine, legs pressing platform away, using exercise machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_146","Calf Press Using Leg Press Machine","yes","seated in machine; legs pressing platform away","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf press using leg press machine, seated in machine, legs pressing platform away, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Calf_Raise_On_A_Dumbbell","Calf Raise On A Dumbbell","yes","standing on edge; raising heels upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raise on a dumbbell, standing on edge, raising heels upward, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1466","Calf Raise using Hack Squat Machine","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raise using hack squat machine, standing with weight, lowering into squat with thighs parallel, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1365","Calf Raise with machine (seated)","yes","standing on edge; raising heels upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raise with machine (seated), standing on edge, raising heels upward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Calf_Raises_-_With_Bands","Calf Raises - With Bands","yes","standing on edge; raising heels upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raises - with bands, standing on edge, raising heels upward, using resistance band, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_148","Calf Raises on Hackenschmitt Machine","yes","standing on edge; raising heels upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raises on hackenschmitt machine, standing on edge, raising heels upward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1203","Calf raises  left leg","yes","standing on edge; raising heels upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raises, left leg, standing on edge, raising heels upward, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_702","Calf raises  one legged","yes","standing on edge; raising heels upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing calf raises, one legged, standing on edge, raising heels upward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
